year,city,country,avg_temp
1796,Bangalore,India,24.49
1797,Bangalore,India,25.18
1798,Bangalore,India,24.65
1799,Bangalore,India,24.81
1800,Bangalore,India,24.85
1801,Bangalore,India,24.49
1802,Bangalore,India,25.44
1803,Bangalore,India,25.22
1804,Bangalore,India,25.67
1805,Bangalore,India,25.01
1806,Bangalore,India,24.87
1807,Bangalore,India,24.25
1808,Bangalore,India,
1809,Bangalore,India,
1810,Bangalore,India,
1811,Bangalore,India,
1812,Bangalore,India,
1813,Bangalore,India,24.23
1814,Bangalore,India,23.91
1815,Bangalore,India,23.79
1816,Bangalore,India,23.30
1817,Bangalore,India,23.60
1818,Bangalore,India,23.94
1819,Bangalore,India,23.86
1820,Bangalore,India,23.91
1821,Bangalore,India,24.40
1822,Bangalore,India,24.33
1823,Bangalore,India,24.62
1824,Bangalore,India,25.10
1825,Bangalore,India,24.69
1826,Bangalore,India,24.88
1827,Bangalore,India,24.67
1828,Bangalore,India,24.61
1829,Bangalore,India,24.46
1830,Bangalore,India,24.39
1831,Bangalore,India,24.43
1832,Bangalore,India,24.66
1833,Bangalore,India,24.46
1834,Bangalore,India,24.59
1835,Bangalore,India,23.89
1836,Bangalore,India,24.12
1837,Bangalore,India,24.13
1838,Bangalore,India,24.29
1839,Bangalore,India,24.24
1840,Bangalore,India,24.24
1841,Bangalore,India,24.05
1842,Bangalore,India,24.22
1843,Bangalore,India,23.99
1844,Bangalore,India,24.23
1845,Bangalore,India,24.46
1846,Bangalore,India,24.90
1847,Bangalore,India,24.35
1848,Bangalore,India,24.35
1849,Bangalore,India,24.32
1850,Bangalore,India,24.38
1851,Bangalore,India,24.45
1852,Bangalore,India,24.43
1853,Bangalore,India,24.67
1854,Bangalore,India,24.73
1855,Bangalore,India,24.75
1856,Bangalore,India,24.21
1857,Bangalore,India,23.87
1858,Bangalore,India,24.59
1859,Bangalore,India,24.55
1860,Bangalore,India,24.41
1861,Bangalore,India,24.21
1862,Bangalore,India,23.59
1863,Bangalore,India,
1864,Bangalore,India,
1865,Bangalore,India,25.06
1866,Bangalore,India,25.00
1867,Bangalore,India,24.96
1868,Bangalore,India,25.07
1869,Bangalore,India,24.92
1870,Bangalore,India,24.42
1871,Bangalore,India,24.47
1872,Bangalore,India,24.48
1873,Bangalore,India,24.51
1874,Bangalore,India,24.56
1875,Bangalore,India,24.64
1876,Bangalore,India,24.84
1877,Bangalore,India,25.23
1878,Bangalore,India,25.15
1879,Bangalore,India,24.39
1880,Bangalore,India,24.58
1881,Bangalore,India,24.76
1882,Bangalore,India,24.33
1883,Bangalore,India,24.25
1884,Bangalore,India,24.35
1885,Bangalore,India,24.62
1886,Bangalore,India,24.53
1887,Bangalore,India,24.31
1888,Bangalore,India,24.63
1889,Bangalore,India,24.73
1890,Bangalore,India,24.46
1891,Bangalore,India,24.95
1892,Bangalore,India,24.59
1893,Bangalore,India,24.38
1894,Bangalore,India,24.75
1895,Bangalore,India,24.78
1896,Bangalore,India,25.12
1897,Bangalore,India,25.30
1898,Bangalore,India,24.87
1899,Bangalore,India,24.74
1900,Bangalore,India,25.44
1901,Bangalore,India,25.09
1902,Bangalore,India,25.06
1903,Bangalore,India,24.82
1904,Bangalore,India,24.53
1905,Bangalore,India,24.92
1906,Bangalore,India,25.09
1907,Bangalore,India,24.74
1908,Bangalore,India,24.66
1909,Bangalore,India,24.61
1910,Bangalore,India,24.42
1911,Bangalore,India,24.76
1912,Bangalore,India,25.00
1913,Bangalore,India,25.00
1914,Bangalore,India,25.02
1915,Bangalore,India,25.22
1916,Bangalore,India,24.75
1917,Bangalore,India,24.46
1918,Bangalore,India,24.74
1919,Bangalore,India,25.06
1920,Bangalore,India,24.99
1921,Bangalore,India,24.88
1922,Bangalore,India,24.74
1923,Bangalore,India,24.84
1924,Bangalore,India,24.89
1925,Bangalore,India,24.69
1926,Bangalore,India,25.14
1927,Bangalore,India,25.06
1928,Bangalore,India,25.06
1929,Bangalore,India,24.87
1930,Bangalore,India,24.86
1931,Bangalore,India,25.24
1932,Bangalore,India,24.68
1933,Bangalore,India,24.61
1934,Bangalore,India,24.81
1935,Bangalore,India,24.93
1936,Bangalore,India,24.99
1937,Bangalore,India,24.96
1938,Bangalore,India,24.91
1939,Bangalore,India,24.84
1940,Bangalore,India,24.92
1941,Bangalore,India,25.55
1942,Bangalore,India,25.23
1943,Bangalore,India,24.69
1944,Bangalore,India,24.92
1945,Bangalore,India,25.05
1946,Bangalore,India,24.97
1947,Bangalore,India,25.02
1948,Bangalore,India,25.21
1949,Bangalore,India,24.92
1950,Bangalore,India,24.85
1951,Bangalore,India,25.03
1952,Bangalore,India,25.12
1953,Bangalore,India,25.18
1954,Bangalore,India,24.92
1955,Bangalore,India,24.78
1956,Bangalore,India,24.73
1957,Bangalore,India,25.11
1958,Bangalore,India,25.29
1959,Bangalore,India,25.24
1960,Bangalore,India,25.07
1961,Bangalore,India,24.97
1962,Bangalore,India,24.90
1963,Bangalore,India,25.04
1964,Bangalore,India,25.09
1965,Bangalore,India,25.04
1966,Bangalore,India,25.32
1967,Bangalore,India,24.87
1968,Bangalore,India,25.00
1969,Bangalore,India,25.36
1970,Bangalore,India,24.95
1971,Bangalore,India,24.74
1972,Bangalore,India,25.22
1973,Bangalore,India,25.40
1974,Bangalore,India,24.94
1975,Bangalore,India,24.86
1976,Bangalore,India,25.13
1977,Bangalore,India,25.20
1978,Bangalore,India,25.07
1979,Bangalore,India,25.44
1980,Bangalore,India,25.45
1981,Bangalore,India,25.17
1982,Bangalore,India,25.42
1983,Bangalore,India,25.59
1984,Bangalore,India,25.08
1985,Bangalore,India,25.31
1986,Bangalore,India,25.51
1987,Bangalore,India,25.81
1988,Bangalore,India,25.50
1989,Bangalore,India,25.20
1990,Bangalore,India,25.25
1991,Bangalore,India,25.49
1992,Bangalore,India,25.16
1993,Bangalore,India,25.22
1994,Bangalore,India,25.22
1995,Bangalore,India,25.44
1996,Bangalore,India,25.41
1997,Bangalore,India,25.68
1998,Bangalore,India,26.01
1999,Bangalore,India,25.29
2000,Bangalore,India,25.34
2001,Bangalore,India,25.53
2002,Bangalore,India,25.76
2003,Bangalore,India,25.92
2004,Bangalore,India,25.25
2005,Bangalore,India,25.48
2006,Bangalore,India,25.42
2007,Bangalore,India,25.46
2008,Bangalore,India,25.35
2009,Bangalore,India,25.73
2010,Bangalore,India,25.71
2011,Bangalore,India,25.36
2012,Bangalore,India,26.04
2013,Bangalore,India,26.61
