year,city,country,avg_temp
1796,Ranchi,India,24.01
1797,Ranchi,India,25.22
1798,Ranchi,India,23.33
1799,Ranchi,India,24.28
1800,Ranchi,India,24.24
1801,Ranchi,India,23.24
1802,Ranchi,India,24.70
1803,Ranchi,India,24.46
1804,Ranchi,India,24.80
1805,Ranchi,India,24.35
1806,Ranchi,India,24.25
1807,Ranchi,India,23.66
1808,Ranchi,India,
1809,Ranchi,India,
1810,Ranchi,India,
1811,Ranchi,India,
1812,Ranchi,India,
1813,Ranchi,India,23.59
1814,Ranchi,India,22.86
1815,Ranchi,India,23.13
1816,Ranchi,India,22.86
1817,Ranchi,India,22.92
1818,Ranchi,India,22.99
1819,Ranchi,India,22.80
1820,Ranchi,India,23.07
1821,Ranchi,India,23.92
1822,Ranchi,India,24.06
1823,Ranchi,India,23.85
1824,Ranchi,India,24.37
1825,Ranchi,India,24.12
1826,Ranchi,India,24.18
1827,Ranchi,India,24.29
1828,Ranchi,India,23.95
1829,Ranchi,India,23.76
1830,Ranchi,India,24.01
1831,Ranchi,India,23.55
1832,Ranchi,India,23.80
1833,Ranchi,India,23.91
1834,Ranchi,India,23.75
1835,Ranchi,India,22.79
1836,Ranchi,India,23.69
1837,Ranchi,India,23.60
1838,Ranchi,India,23.58
1839,Ranchi,India,23.62
1840,Ranchi,India,23.92
1841,Ranchi,India,23.83
1842,Ranchi,India,23.71
1843,Ranchi,India,23.67
1844,Ranchi,India,23.36
1845,Ranchi,India,23.62
1846,Ranchi,India,23.90
1847,Ranchi,India,23.50
1848,Ranchi,India,23.46
1849,Ranchi,India,23.43
1850,Ranchi,India,23.93
1851,Ranchi,India,23.86
1852,Ranchi,India,23.62
1853,Ranchi,India,24.07
1854,Ranchi,India,24.11
1855,Ranchi,India,24.09
1856,Ranchi,India,22.96
1857,Ranchi,India,23.28
1858,Ranchi,India,23.91
1859,Ranchi,India,23.98
1860,Ranchi,India,23.71
1861,Ranchi,India,23.63
1862,Ranchi,India,18.86
1863,Ranchi,India,
1864,Ranchi,India,
1865,Ranchi,India,24.09
1866,Ranchi,India,24.19
1867,Ranchi,India,24.17
1868,Ranchi,India,23.84
1869,Ranchi,India,23.89
1870,Ranchi,India,23.82
1871,Ranchi,India,24.01
1872,Ranchi,India,23.98
1873,Ranchi,India,24.03
1874,Ranchi,India,23.88
1875,Ranchi,India,23.90
1876,Ranchi,India,24.02
1877,Ranchi,India,24.05
1878,Ranchi,India,24.59
1879,Ranchi,India,24.10
1880,Ranchi,India,23.94
1881,Ranchi,India,23.79
1882,Ranchi,India,23.94
1883,Ranchi,India,23.64
1884,Ranchi,India,23.56
1885,Ranchi,India,23.85
1886,Ranchi,India,24.06
1887,Ranchi,India,23.68
1888,Ranchi,India,24.08
1889,Ranchi,India,24.44
1890,Ranchi,India,23.99
1891,Ranchi,India,23.75
1892,Ranchi,India,24.33
1893,Ranchi,India,22.94
1894,Ranchi,India,24.26
1895,Ranchi,India,23.97
1896,Ranchi,India,24.75
1897,Ranchi,India,24.71
1898,Ranchi,India,24.23
1899,Ranchi,India,24.28
1900,Ranchi,India,24.64
1901,Ranchi,India,24.30
1902,Ranchi,India,24.63
1903,Ranchi,India,24.35
1904,Ranchi,India,24.03
